full_name	name	state	country	latitude	longitude	timezone
Shanghai, China	Shanghai	Shanghai	China	31.22222	121.45806	Asia/Shanghai
Beijing, China	Beijing	Beijing	China	39.9075	116.39723	Asia/Shanghai
Shenzhen, Guangdong, China	Shenzhen	Guangdong	China	22.54554	114.0683	Asia/Shanghai
Guangzhou, Guangdong, China	Guangzhou	Guangdong	China	23.11667	113.25	Asia/Shanghai
Kinshasa, Democratic Republic of the Congo	Kinshasa	Kinshasa	Democratic Republic of the Congo	-4.32758	15.31357	Africa/Kinshasa
Lagos, Nigeria	Lagos	Lagos	Nigeria	6.45407	3.39467	Africa/Lagos
Istanbul, Turkey	Istanbul	Istanbul	Turkey	41.01384	28.94966	Europe/Istanbul
Chengdu, Sichuan, China	Chengdu	Sichuan	China	30.66667	104.06667	Asia/Shanghai
Mumbai, Maharashtra, India	Mumbai	Maharashtra	India	19.07283	72.88261	Asia/Kolkata
Sao Paulo, Brazil	Sao Paulo	Sao Paulo	Brazil	-23.5475	-46.63611	America/Sao_Paulo
Mexico City, Mexico	Mexico City	Mexico City	Mexico	19.42847	-99.12766	America/Mexico_City
Karachi, Sindh, Pakistan	Karachi	Sindh	Pakistan	24.8608	67.0104	Asia/Karachi
Tianjin, China	Tianjin	Tianjin	China	39.14222	117.17667	Asia/Shanghai
Delhi, India	Delhi	Delhi	India	28.65195	77.23149	Asia/Kolkata
Wuhan, Hubei, China	Wuhan	Hubei	China	30.58333	114.26667	Asia/Shanghai
Moscow, Russia	Moscow	Moscow	Russia	55.75222	37.61556	Europe/Moscow
Dhaka, Dhaka Division, Bangladesh	Dhaka	Dhaka Division	Bangladesh	23.7104	90.40744	Asia/Dhaka
Seoul, South Korea	Seoul	Seoul	South Korea	37.566	126.9784	Asia/Seoul
Dongguan, Guangdong, China	Dongguan	Guangdong	China	23.01797	113.74866	Asia/Shanghai
Cairo, Egypt	Cairo	Cairo	Egypt	30.06263	31.24967	Africa/Cairo
Xi'an, Shaanxi, China	Xi'an	Shaanxi	China	34.25833	108.92861	Asia/Shanghai
Nanjing, Jiangsu, China	Nanjing	Jiangsu	China	32.06167	118.77778	Asia/Shanghai
Hangzhou, Zhejiang, China	Hangzhou	Zhejiang	China	30.29365	120.16142	Asia/Shanghai
Foshan, Guangdong, China	Foshan	Guangdong	China	23.02677	113.13148	Asia/Shanghai
Ho Chi Minh City, Ho Chi Minh, Vietnam	Ho Chi Minh City	Ho Chi Minh	Vietnam	10.82302	106.62965	Asia/Ho_Chi_Minh
London, England, United Kingdom	London	England	United Kingdom	51.50853	-0.12574	Europe/London
